created_on,content
2021-01-24T05:27:32.025Z,need burnol btw you seem to be literate enough to read the word refugee in that sentence and if you can not may allah subhanu wata ala help you
2021-02-18T14:11:33.628Z,post that kike star again and you can wear them in the oven
2020-08-17T02:00:18.948Z,about half of the nearly immigrants who were swept up in the raid are now being detained at immigration prisons outside the state far from their loved ones and they are facing deportation even further away from their homes
2020-12-10T10:52:02.744Z,i redownloading tinder which is a mistake in itself and litterally no one on there is cute i hate this redneck state
2022-02-21T11:45:55.294Z,is your ultimate solution leading up to a final one nazis going to nazi
2020-06-07T01:54:39.128Z,crawled out bitch i have been here since the doors opened why do not you take your kike ass back to twitter where you belong
2021-04-19T09:27:07.269Z,f the gop it drowning itself in the bathtub unless you people are just going to give up and let these nazi puke sacks win i am never going to quit fighting white supremacists until they are gone republicans are the party of white supremacy that their identity
2020-06-07T08:42:55.862Z,remember christ tried to save the jews and the bastards killed him because he challenged their corrupt authority over what was supposed to be god people god foresaked the jews via christ even god is sick and tired of jews
2020-10-14T23:12:21.929Z,you should never take anything from a beaner butthole i will grant that
2021-05-28T12:43:50.112Z,hazard is a fat slut
2022-04-27T11:01:48.748Z,well they do line to brag about their involvement in gay rights and they practically own tv
2021-02-03T04:05:18.783Z,he should resign and then commit hara kiri in front of those bloody thirsty muslim scumbag camel jockeys
2021-08-27T01:35:25.806Z,guilty until proven innocent unless you are a jew a nigger or a lover of both
2021-09-16T23:46:52.296Z,even their fellow asians hate them
2020-06-19T10:34:17.797Z,you are correlating tourist numbers with refugee policy possibly one of the dumbest arguments i have seen
2021-07-15T20:29:10.059Z,as women we are already undermined in a sense so you ll meet your match with this one
2020-12-18T12:52:06.363Z,either failed in english or a faggot on these streets me i can not reply to such a stupid message tbh
2020-07-24T07:38:10.523Z,go on vacation for a week come back and we all just fucking hate queer eye and kale
2021-02-15T04:48:00.814Z,merkel too also pro dae sh refugees
2021-09-06T14:22:59.533Z,good point let us call them white supremacists and nazis that what they have always represented in our society end pc culture breitbart
2021-11-15T19:13:53.214Z,not to slut shame anyone but you all some hoes for october
2020-12-30T20:42:02.049Z,my family owned but we also fought for the union i really wish they would make a real proposal for reparations at some point i would not be able to contain myself if once everything was calculated every nigger got like
2021-04-19T23:53:19.095Z,c mon dude that retarded china is huge and has b ppl that insanely stupid
2021-01-06T05:13:34.165Z,ovomit the gay muzzie did not want to defeat his cousins
2020-12-31T09:43:42.142Z,johnson view by contrast was reasonable and genuine even if i disagree with him vox is pulling some dorklord machiavellian master plan bullshit for whatever reason it obvious moronic and tiresome fuck off with your triracial alt west milo apologetics gamergate bullshit you fucking spic
2021-08-31T15:01:22.327Z,this is not funny i am lactating samantha i need you to film it or else ching chong woman will drown in auntie tit milk
2021-06-17T04:37:42.508Z,i am really just an observer of all this stuff but queer twitter discourse one week will be like trans lesbians need to let straight bi trans women talk about being attracted to men but then the next its all never talk about sex in front of ace people
2022-04-10T07:52:00.706Z,jesus was no kike he was a jew in the biblical sense an aryan the jews of today are descended from southern european converts to judaism in the dark ages they are evil jesus is not
2020-05-17T11:44:24.722Z,i wish i knew more ppl from houston so they could help me out i m not tryna move to the ghetto
2021-07-03T13:35:39.405Z,right many mexicans might think i am racist but i am not though it just that there thing that has always made the yousa work and it called following the laws and rules otherwise we are reduced to a violent chaotic liberal hell hole ghetto like london my cents
2021-04-27T14:40:35.989Z,honestly at leaset of alt righters are retarded and have no idea wtf they are actually talking about it kind of fun watching them embarrass themselves on youtube
2022-02-09T08:47:20.951Z,queer eye is my shit a bitch is addicted
2021-01-28T07:45:40.076Z,goddamnit you delete this stuff rn that nigger bitch is not worth it i wish i were a man rn i would so go after that fat black cunt just because
2020-08-08T16:09:09.107Z,rex tillerson fully aware that for at least fifty years boy scouts were being sexually molested by homosexuals led the push to flood the boy scouts with openly gay scouts fuck tillerson may he rot in hell
2020-05-04T11:38:49.876Z,many kill lists another bisexual nigger traitor in wh would trigger a million trucks converging on dc full blown running gun battles shtf
2020-12-31T18:05:06.143Z,why are there queers everyday somewhere trying to tell us what to do abominations go away freaks stay away from anyone under the age of sickos
2020-12-19T14:49:30.113Z,his ancestors are rolling in their graves a negress had been added to the royal line therefore ending it royal wedding heritage uk
2021-09-29T22:36:29.594Z,a prominent hollywood entertainment lawyer claims that poltergeist child star heather o rourke was raped and murdered by hollywood executives heather played the character carol anna freeling in all three of steven spielberg poltergeist films she died in
2020-08-15T19:56:42.213Z,fuck you all hoes
2021-12-14T00:49:34.596Z,like literally what the actual fuck i am so mad at this this meme is stupid having nazi and shit but literally says trans fucking niggers this already giving me blackface vibes like this is crossing the line between being a black person
2022-03-06T12:39:14.645Z,no sand niggers no terror pretty straightforward
2020-07-24T22:35:28.237Z,jews still live as in the ot cultish self serving warring and against criticism b cos they have developed a culture of pharasitic entitlements they are not enlightened they still sacrifice animals with all their posturing they still reject god
2021-08-25T16:31:07.228Z,prince is not gay like i am pretty sure i heard he was a homophobe
2021-01-04T12:40:16.061Z,this is the hardest thing i ve ever done a white girl on the bachelor after the pandemic
2021-04-13T03:43:22.019Z,hey jewie you still suckin jew cock in your twitter son
2021-12-20T07:06:55.580Z,dumbest cartoon propogated by the dumbest people get that shit outta here faggot
2021-01-01T03:32:08.011Z,good day for nepali sports team nepal women team won u19 team won by runs nepal men football team won comprehensively
2020-06-01T05:15:51.679Z,bunch of queers
2021-12-01T07:17:16.154Z,imagine being so disconnected that you would think a dickies work shirt and some black pants are comparable to a fur suit imagine crying about optics while writing for a site that screams nigger in every title like a year old on xbox love who d just found chan
2021-06-07T06:24:54.849Z,even calls them black out of respect for her nigger gods
2022-01-14T11:00:53.261Z,update she is in the hospital for atleast days sick puppy
2020-10-14T02:12:09.393Z,thank ya baby gays
2022-01-18T17:04:20.570Z,fuck it i am fixing to start watching power w the rest of you niggers
2020-10-12T04:49:17.383Z,noice i got the silver one just cuz i am a white hoe and that the closest color i could get to it
2020-09-27T10:03:43.824Z,walk me through how gorka has been able to be trump nazi whisperer he and bannon have not been quiet about their roles to bring right wing christian white anglo saxon nations
2021-09-22T16:02:58.923Z,here is the thing you can love or hate whoever you like they certainly do not all jews are bad not all whites are good but there is definitely an agenda that i see
2021-12-13T14:30:33.379Z,paul joseph watson thinks he looks cool with a ciggie hanging out of his big nigger lips
2021-04-05T08:31:14.708Z,deeply concerning ffs bbc bias bj was alleged to have touched a remoaner leg twenty years ago he denied it he not jimmy feckin savile condemn labour instead who turned a blind eye to hundreds of children being raped by grooming gangs in rotherham bb cfakenews
2020-12-28T01:34:05.710Z,we had them white ones tyvex or arco i forget handle fucked ft gash down them
2021-03-24T20:09:03.633Z,if you tell the truth they will hate you for it and the more you tell it the more they will hate you
2020-12-23T06:19:27.688Z,i am done with you i am not helping you get your faggot word out lmfao your discusting and should kill yourself
2021-09-05T03:08:09.585Z,amaka so you are now in a man house because of foodstuffs you are no longer lesbian
2020-10-15T04:23:57.376Z,what up with the shitskin comment
2022-04-24T04:30:06.765Z,dislike food eggplant capsicum paprika favourite colour yellow charm point mole at the mouth strong point brave weak point too serious favourite fashion black and white with only the shoes in colours cap hat
2020-06-30T11:35:12.985Z,you talking about the white supremacists neonazi sympathizer called djt
2021-01-31T21:40:43.799Z,we are not offended by the counter semitism if you are not outraged by what elite jews are doing to white countries you are not paying attention
2021-06-05T16:58:24.614Z,i hate you i love you
2021-03-06T08:17:34.165Z,why do white people say dawg
2021-10-25T17:39:42.739Z,why is it all the faggots who demand christian bakers bake them a faggot loving cake have never found a muslim bakery demanded the muslims bake them a faggot loving cake always remember the truth is hate speech to those who hate the truth
2021-03-31T13:02:35.613Z,obamanicknames dollar muslim pimp a hole musloid a token to make stupid white people feel less guilty a tr gay husband americahaterinchief america hating globalist elitist piece of trash arrogant pompous narcissistic thug attention hound b hussein blunder barack arafat
2020-06-14T00:08:51.078Z,but history is as is the history of how jews acquired the land so let the arabs go back to their huge sandpit and you worry about the millions displaced and starving
2021-09-19T02:57:34.131Z,so apparently if you leave your house and get sexually harassed assaulted raped it your fault because you left the house are not that the most f cked up thing i have heard in my entire life who says that cruel world
2021-05-18T20:37:06.831Z,arya is a fucking goat
2021-07-03T05:18:13.920Z,i am not a racist i just hate murderously retarded fascist ideologies stupid people but some things are universally recognizable some are not apparently adversary ucanquoteme
2020-07-16T22:09:57.280Z,the purpose goal of muslim immigrants is not integration into free society the purpose of islamists is to take over enslave free nations banislam deportmuslims
2021-03-15T23:50:36.352Z,what did meek say niggas fuck they bestfriends like they was dykes
2022-03-14T18:16:09.376Z,imagine being this retarded
2021-01-12T01:36:32.018Z,you don t see whoever that is commenting on my shit i can t even see the retweet or responses tho
2022-03-19T07:42:16.631Z,like rt dm to be added to a gc keep it active hype each other up must be following me issaproudhomo
2022-02-05T08:42:00.710Z,merkel is a moron and an east german communist who loves muzzies more than germans when will the germans kick her fat ass out of office
2021-04-06T13:43:46.870Z,i think spicer is going to need to start using videos and charts and graphs to really teach the media the truth about issues like violence in chicago violent immigrants etc mere words are not enough the narrative in their heads is too strong
2020-05-30T20:41:25.800Z,my ignorance proves i know nothing about this nigger comic i am good with that
2021-10-02T16:06:07.255Z,holy shit i want to listen to all of these they all look amazing
2021-03-11T01:47:36.043Z,islam and antisexist parading together are like nazi and jewish together
2022-02-09T21:39:48.181Z,you r such a fuckin hoe i love it you r such a fuckin hoe i love it you r such a fuckin hoe i love it ur boyfriend a dork mclovin
2021-01-03T08:16:52.300Z,please people do not reply to this ignorant peasant raghead as it is from one of them it is unable to differentiate between a child and a woman as mo the pedo married a yr old they also can not tell between women and goats both have beards after all
2021-08-21T17:06:55.419Z,i do not want to hear about systemic racism and power privilege from asians and kikes since they are statistically wealthier than us shut the fuck up
2022-04-10T05:04:17.717Z,nancy pelosi invited illegal aliens to the state of the union president trump invited victims of illegal aliens to the state of the union
2021-12-11T03:16:05.311Z,crazy oh no she is black that ishwat they do of times everyday ghetto lotto you can not win if you do not play
2021-06-22T06:36:21.627Z,i be bathing in hunneds white bitch with a onion
2021-09-29T03:43:33.646Z,gab sucks ass in every single way but i can say nigger so it worth using this shitty site
2020-12-14T02:06:32.809Z,bamn tried to take over the national education association but apparently even cat ladies and sheboons hate them
2021-11-28T13:58:29.853Z,they just some hating hoes tho lol
2021-12-28T21:24:11.731Z,celebrities freaking because of trump rosie o donnell chelsea handler madonna george clooney george takei cher ashley judd robert de niro will any be connected to pedogate and then the press jake tapper keith olberman perez hilton seems the queers are the most vocal makes me wonder
2021-09-23T08:25:24.202Z,so this action by espn of dropping the sportscaster because of his name robert lee glaringly points out the reality of the left and how they are now the equal of the nazi brown shirts espn and others simply expect the violence that the dems gleefully promote and commit
2022-04-03T00:48:46.091Z,and moors were sand niggers originally but african niggers stole their name because they never accomplished anything in their history still no plumbing in africa kangs should demand greatness but africans produce futility
2020-08-30T07:20:42.248Z,you all favorite rappers artist can say faggot but when i say it you all try to turn up on me
2022-04-04T07:15:50.436Z,you should stop being so eager to have fights with jews based on whatever weird personal interaction ur referring to
2020-11-06T21:41:09.375Z,anytime bro rekt the kike christ cuck fuckers shits about to get real
2020-09-21T14:50:19.976Z,women can not handle the bantz they are women you do not bantz women that gay
2022-03-09T07:02:11.688Z,what if some white bitch heard someone shouting random shit and then they say omg ur so quirky and turns out they have tourettes
2020-12-22T09:57:24.779Z,what her refugee policy
2020-12-20T08:06:49.450Z,jasmine tweeted this man job and still got to tweet and i told drew brees i beg your nigger ass pardon and got disabled for hours
2022-03-19T16:01:30.626Z,there not a whole lot of tolerance for women who refuse to bend a knee for hillary clinton is there i have been in all those dm chat rooms where they plot to mass report same cretins eventually got me banned
2021-11-05T14:16:15.177Z,oh shit this means the weirdo will have more time on his hands to write another book well at least his retarded fans the idiots who bought his first book will be happy
2020-07-10T08:23:36.638Z,that india one day ll be a muslim country again and muslims ll occupy india and yes we ll give rights to minorities do not worry we ll make india as a muslim country one day
2021-10-28T07:13:45.510Z,i m a pretty bitch i don t deserve to be stuck in bakersfield
2021-12-16T15:21:35.151Z,punk ass manly bitch
2022-02-05T22:26:16.480Z,no niggers muzzies and wetbacks being parasites at the behest of kikes is causing a divide in america
2021-08-29T06:43:47.867Z,tfw cv is and the yoof call her a nazi for of paths did not enable pedophilia hard enough white genocide enabler let us choose option white supremacy
2022-01-27T20:22:49.251Z,refugees today are cowards
2021-09-13T05:46:13.051Z,take ya nigger ass to bed
2021-10-30T12:53:08.157Z,so now in nyc you get a k fine for saying illegal alien the official term for a foreign national living in a country without authorization but get over the use of the word nigger niggers tuesday thoughts
2020-05-12T13:21:44.907Z,anti nazi merch and shit rules but no matter the context i m not buying anything that has a swastika on it
2022-01-10T05:24:28.758Z,we can sieg heil whoever we want into office and it sure as fuck will not be a nigger lover ever again
2020-11-02T23:30:48.059Z,this can not be right they are all white what is going to do to the lying repubs who always claim it poc who cheat welfare and will not work
2021-10-20T17:03:35.581Z,lol spin away and use ad hominem attacks because you can not debt on merit synonymous for a white flag too easy next impeachdonaldtrump
2021-01-29T22:36:48.770Z,soo like is she a nazi
2021-03-31T07:16:59.129Z,i can not believe women are defending r kelly
2022-03-25T17:21:28.574Z,but if you are a nigger you can beat rape your way all down white street while screaming i hate white people never be charged with a hate crime
2021-06-24T21:58:18.102Z,did islamists just bomb fleeing civilans from fuah kafraya in syria fuah kafraya are two besieged cities in the idlib province with a majority shia muslim population i wonder if western msm will write about this probably not
2021-06-01T00:32:19.204Z,are you suggesting that nigger women are somehow unattractive or that they fell out of the ugly tree and hit every branch on the way down datz rayciss but you do have a point there she even uglier than most sheboonz
2020-08-30T13:02:45.549Z,mitch is a racist anti american nigger
2020-11-30T21:27:39.235Z,teenagers do not get a levels now they get cellulite and yes vicky pollard has increased and many bald headed dykes as well we need hufty she was a fuck fest
2020-06-02T10:30:39.165Z,wonder what fatso had for dinner today lollers roanna fish pie i think
2020-06-12T23:28:19.210Z,are you retarded
2021-01-12T06:00:55.620Z,as much i would like it to be true graphic lurid and clear i am fucked if i would like to see pant suit barby without the pant suit the sand nigger possibly but only out of curiosity releasethevideo
2021-04-12T10:07:53.712Z,only white people will preserve our whiteculture and europeanheritage tradlife altright
2021-09-19T07:09:30.321Z,you re correct soros was a nazi
2022-02-25T10:23:22.325Z,we do not want illegal muslim immigrants so what wrong in that he has been elected for it
2022-04-26T00:31:08.154Z,what an ugly bitch and a moozie fucking whore drag it into court and start asing questions from gowdy
2021-12-03T09:00:03.500Z,for different reasons the conservative labour parties support mass rd world immigration while ukip prefer paki moslem immigrants as long as they speak english over white christian europeans who may not be as fluent in english as them britain is crying out for a pro white political party
2021-12-29T08:45:00.068Z,millions died for this system they despise millions died for this system that pays them millions per year there is a whole continent in africa for you nfl faggots
2021-12-31T00:53:10.586Z,i disagree with you on interracial marriages i am a st generation american chinese married to a white man we both have found the christ for me it abt the culture you choose to follow than ur race i have seen many asians in us following the trad western culture than many urban whites
2021-05-14T13:44:56.366Z,fuck off trailer park nigbeat i do not associate with welfare niggers like you gtfoh nigger
2021-12-28T21:40:30.126Z,ffs hundreds of white girls raped by muslim men and everyone is getting worked up about a non provible politically convenient story from years ago
2022-04-06T12:56:45.408Z,is not georgia tech a nigger school
2020-07-01T19:39:24.098Z,straight white man queue to see a misogynistic homophobe speak at tory conference in shocking plot twist
2020-12-25T09:40:39.235Z,who were the utter fuckwits that thought nazi salutes nazi symbolism and yelling gas the kikes was a good idea way to let a legitimate protest be ambushed charlottesville
2022-04-24T17:59:42.972Z,of course a fat white bitch is pro another fat white bitch
2020-09-28T13:04:52.322Z,hahahaha hey too much for you fat censoring kike nigger
2022-03-02T21:55:28.957Z,i do not hate muslims or black people are you out of your mind i do hate pakis though but that okay because they are not humans
2020-05-26T03:36:36.062Z,went varmint hunting earlier i shot six squirrels and a jackrabbit no kike rats though
2020-06-06T06:39:14.148Z,where was he when marissa chen was beaten raped and murdered by one of trudeaus refugees
2021-12-01T10:55:31.118Z,to normies the concept of genocide is essentially when the nazis tried to kill all the jews it hard for them to think of present day immigration as genocidal or threatening so how do we get them from that mindset to thinking about white genocide via population replacement
2020-11-07T17:31:41.550Z,they do but they have some lame ass idea that they can benifit from it as its replaced and they are just dumb enought to think this time they will get it right they are just as retarded as you but arguably better at murder just saying
2022-02-13T17:29:22.029Z,in britain a man went to prison for posting memes about jews on the internet in britain a moslem got off with zero jail time for raping a little white girl are you starting to see the same picture that i do
2021-07-28T16:31:59.276Z,you dumbass redneck
2021-12-29T19:57:26.512Z,child birth and the healing process after is the ghetto i would love ukulamanisa but wow child birth is low key traumatizing no lie
2021-12-07T06:22:06.831Z,no do not kill yourself you are so spooky ahah
2020-09-09T02:09:46.270Z,fuck that game it gay and retarded
2021-05-20T14:16:34.522Z,running from his bitch he gon come when i call
2022-04-05T12:53:51.345Z,i will never stop saying nigga ever
2021-09-16T03:27:18.220Z,nobel peace laureate fighting wars in countries bestows medal of freedom on crazy uncle choo choo before give finger to cuban refugees and then he airdropped billion in cash to iranian mullahs while stage diving into a mob of weeping celebs for his going away toungue bath
2021-10-19T17:39:40.912Z,almost all parrots nest in tree hollows or nest boxes in captivity and lay white eggs from which hatch altricial helpless young
2021-10-06T22:47:05.085Z,fuck it here is a thread of the cql women being stunning in dresses
2022-04-22T19:39:43.593Z,according to the democrats rinos mainstream media liberals progressives and social justice warriors this murdering pos deserves amnesty and sanctuary because he is a dreamer apparently this man victim and the victim family are not entitled to dreams because only criminal immigrants and invaders can have dreams
2021-12-16T04:55:49.228Z,that his sister sheboon friend melissa is apparently dating some blonde dude
2022-03-01T07:12:58.368Z,he called me a pig when i asked question lol he has no answer its just typical yid technique believe me even i lie otherwise it anti semitic
2020-12-13T00:36:25.008Z,i know right i was so gay when my dad taught me how to make a faggot
2021-06-19T04:16:51.561Z,do you want to kill yourself
2021-02-14T00:31:57.724Z,you do not speak for women
2022-02-16T18:10:35.178Z,nuclear holocaust possibility has increased dramatically since trump withdrew from start proliferation redux
2020-11-07T04:13:29.992Z,yeah me too yeah you too yeah you bash blacks too and the chinks and the j00s dindu nuffins hindu muffins spics micks wops sand niggers who cares humans talk that is what we do so we should go kill each other please
2022-01-19T19:13:11.995Z,i don t mean the arabs to bring them together but you meant people we know a lot
2021-06-16T21:34:28.516Z,i d bet my last nickel that cair is entrenched in this up to it eyeballs last year a few hundred million fraud discovered by muzzie doctor giving billing medicare patients chemo treatments with no cancer yeah this is a religion awright
2021-06-30T13:39:21.912Z,at first they love you then they hate you because they can not be you or simply will never understand you
2022-01-16T03:15:10.261Z,you all ever jus want to dawg somebody shit so bad but that ghetto fighting and arguing shit is totally behind you
2020-06-05T14:15:53.551Z,i saw this porno once where the black guy had a nicer butt than the white bitch he was beating on not me
2020-08-22T20:24:06.378Z,next time i am playing a keyboarder i am takin the mf coin flip lmao gb is a fucking troll
2020-07-28T14:33:51.266Z,i disagree blm want to destroy me and my family they hate all white people and believe they are a superior race
2022-04-05T11:24:55.060Z,idgaf let the dirty sand niggers fight it out
2021-12-02T19:36:01.219Z,i ll fucking hate when depression kicks it because that mf be kicking in hard asf
2022-03-16T19:16:07.050Z,i do not hate you it just that sometimes your actions and the stuff you say annoys me
2021-10-21T22:59:25.536Z,well i locked my keys in my car and i am now chugging grape juice in the publix parking lot this is it this is how crackheads are born
2020-11-21T01:17:30.071Z,reading tweets from muslim twitter has made me islamophobic
2022-01-28T18:06:31.872Z,there no such thing as radical islam it just islam rape mass murder are part parcel of daily moslem life it their culture it who they are
2021-04-14T06:40:47.143Z,american vets discarded by the jews are passing this and organizing against them they will not protect jewish lives now that everybody knows jews want whitegenocide achtung juden
2021-12-22T14:30:29.526Z,girls should have some sort of hat pin and stick it in the muslim scum eyes
2020-07-21T08:06:47.517Z,going into shelters and deporting illegal immigrants is morally incorrect but the government does not run solely on morals and i think before you guys debate it understand that dealing with what is legal and illegal is the job of our government
2020-11-09T19:25:09.267Z,dyke call me c murda girl if you do not get the fuck
2020-11-22T18:14:51.603Z,that wintrich or whatever faggot needs to go posobiec too
2021-08-31T04:35:54.247Z,they playing a lot of ethnic music at this white ass wedding
2021-10-20T10:05:08.388Z,communist revisionists on the city council in austin tx voted to eliminate columbus day use indigenous people instead said columbus was violence hatred they just dissed all italians un freaking believable
2021-07-12T19:55:26.055Z,lool it bare gyal clown i see that get no gyal they just sad cus they get no bitches but do the most to get them try harder
2021-12-31T19:24:12.205Z,gay you are
2020-11-04T01:51:32.488Z,why will there be muslim refugees from muslim dominated bangladesh
2022-04-07T04:36:34.275Z,speaking as part of the maybe some others i am older and white but also a cis gay man not lesbian i loved the indigo girls since the more recently saw them along w mary chapin carpenter and joan baez in charlottesville four voices years ago
2021-05-19T07:20:25.338Z,it officially spooky szn bitch
2021-06-28T21:11:58.864Z,fake news retard
2021-08-31T09:55:54.141Z,love the homogenisation of gay trans ppl into queer so if anyone calls me queer i can b like i am not queer they instantly assume i am cis n het which is fine to me love playing tricks on ppl
2020-11-13T11:21:00.642Z,where are all the conservative white men where are all the white women defending men from women committing perjury in the divorce courts oh that right they are cheering as men commit suicide screw you bitches look after yourselves mgtow
2020-09-21T09:45:51.455Z,un double standard we did not see tears when more than k kids in west aleppo were slaughtered in cold blood by jihadi rebels and buried without un propaganda sheets
2022-01-11T18:07:01.447Z,well the ones who watch that dyke ellen are pretty fucking dumb
2021-02-22T07:29:25.568Z,you really think no one would care about the foibles aka sexual harassment and possibly sexual assault and rape of women if it wasn t being done by a powerful jew well shit and that why i am a feminist
2021-09-03T09:59:07.913Z,i just saw your ghetto gaggers video why did you change your name from harmony rose
2020-12-31T04:02:09.579Z,the world will know peace when we send back the sand niggers and kikes and nuke the middle east out of existence
2020-09-09T04:16:25.865Z,love when one of my favorite shows has a gay plot twist
2021-11-06T11:50:37.841Z,i raped the jews because it diddled sarah palin
2022-04-15T19:32:08.716Z,since the boomers wanted communism let tax their retirement savings and force them to use ebt cards and ghetto hud apartments down with the niggers and see how long you last traitor
2021-11-19T11:16:40.883Z,yesterday hour float turned in to an hour epic log jam city and a thick black cloud of mosquitoes
2021-06-27T04:59:14.293Z,pity the daily mails richard kay could not devote a double page spread in todays edition to the of young british girls raped by pakistani sex grooming gangs as he has to boris touching ladies legs at the spectator plus years ago that is how the establishment work
2020-12-22T09:26:40.610Z,alright kike lover enjoy ranting about the evil chinese rice farmers you deranged simpleton
2020-08-20T13:34:44.940Z,recommend me good books about islam islam and women thank you
2021-03-08T05:52:44.484Z,white people are so uncultured that they kill black people as a hobby blacklivesmatter allivesmatter
2020-10-18T18:11:33.748Z,i did not know usher was moslem
2022-04-04T13:47:23.620Z,cheating is not the wave grow up you dumbass nigga
2020-09-26T11:06:48.099Z,you negroes are really paying the portion of a light bill to watch jhene aiko murmur in c4 about situationships chile
2020-10-28T14:34:25.303Z,man the niggas in pa are way cooler than the niggas in jersey
2020-07-11T14:59:04.182Z,tbh i am so happy because bitch done lost her stylus months ago and that shit be too expensive
2020-08-06T15:15:49.210Z,unfortunately thousands of women look like this they have overdosed on vitamin kike you should let them know about their condition the next time they stop in
2021-05-24T09:22:32.206Z,aa crazy rich asians and never been kissed for today
2021-01-06T23:39:05.796Z,so the ugly bull dyke bullied her classmate shooter leftists are by far some of the most intolerant people on the planet
2021-09-08T01:28:00.830Z,how come you guys do takfir of muslims and search for faults in every this quality makes me sad
2020-05-31T05:45:26.403Z,these fucking sand nigger savages need to go back to their own countries and if they do not voluntarily the time will come to physically remove them i do not care if they are citizens or not they have no right to be here
2021-08-18T23:01:23.486Z,how would issues even be brought up to vote for in that system some kike will push drug legalization or gay marriage or something
2022-03-06T13:36:45.673Z,you are not a nigger case closed
2021-04-18T18:44:49.914Z,really fucking hate having to be myself sometimes
2021-04-06T15:01:08.417Z,the problem is these church cucks are the ones bringing these so called refugees in where they are a danger to us all just like the stupid women of europe who welcome refugees and then get raped and murdered guarantee this woman would call anyone against refugee resettlement a racist
2020-09-24T00:26:23.682Z,i think i need me a walk on the bitch at night
2021-05-26T19:32:37.008Z,must admit the term muzzies nags at me bothers me but this guy nevertheless is in need of serious mental adjustment
2022-03-14T01:13:53.894Z,south africa to cage dive with great white sharks
2021-10-24T20:28:44.969Z,now that women in saudi arabia can drive they have a fighting chance to escape the isiamist captors who enslave them maga tcot pjnet
2021-03-30T05:22:27.150Z,dog is retarded he bit himself while scratching i need to get him some smart food lol
2020-10-11T17:47:00.577Z,oh and fuck you too
2021-08-24T12:57:43.558Z,good night family god bless remember every muscum wants us dead but god is our savior this ha all been foretold it just a matter of accepting we are at war yet we sit on screens love ya all again god bless
2022-03-02T21:01:32.142Z,so excited for bianca to be the most dominate nxt women champion
2020-10-18T11:55:54.184Z,i didn t get a pedicure last rome i got my nails done n now my feet look brazy this is ghetto
2021-11-12T20:49:36.186Z,cock slut what the hell is this
2021-05-08T10:35:58.219Z,eating peanut butter right outa the jar and lovin the gab over here getting my full ghetto on
2020-11-15T17:16:35.457Z,shut the fuck up pagan faggot
2022-04-14T12:41:37.142Z,bad drunk dick in her throat skrt skrt this nigger
